stream,department,job_role,company_level,company_name,location,required_skills
Medical,Medical Lab Technology,Lab Technician,Startup,SigTuple,Ahmedabad,"Pathology, Lab Testing"
Medical,Biomedical,Service Engineer,Startup,CureFit,Pune,Medical Equipment Service
Medical,General Medicine,Healthcare Consultant,Startup,DocsApp,Mumbai,Hospital Operations
Medical,Medical Lab Technology,Medical Lab Technologist,Startup,MedGenome,Pune,"Biochemistry, Hematology"
Medical,Biomedical,Regulatory Affairs Executive,Startup,MedGenome,Ahmedabad,Medical Regulations
Medical,Healthcare Management,Hospital Administrator,Startup,Portea Medical,Mumbai,Hospital Operations
Medical,Radiology,MRI Technician,Startup,MedGenome,Delhi,MRI Operations
Medical,Biomedical,Medical Device Analyst,Startup,HealthifyMe,Ahmedabad,Device Testing
Medical,Healthcare Management,Health Information Manager,Startup,CureFit,Ahmedabad,Medical Records
Medical,Nursing,Nurse Educator,Startup,MFine,Bengaluru,Medical Training
Medical,General Medicine,Clinical Analyst,Startup,Tata 1mg,Chennai,"Clinical Data Analysis, EHR"
Medical,Radiology,Radiology Analyst,Startup,SigTuple,Delhi,Image Analysis
Medical,Radiology,Imaging Specialist,Startup,Dozee,Bengaluru,Medical Imaging
Medical,Radiology,Imaging Specialist,Startup,SigTuple,Bengaluru,Medical Imaging
Medical,Biomedical,Regulatory Affairs Executive,Startup,PharmEasy,Kolkata,Medical Regulations
Medical,General Medicine,Healthcare Consultant,Startup,Tricog Health,Bengaluru,Hospital Operations
Medical,Radiology,Radiology Analyst,Startup,PharmEasy,Mumbai,Image Analysis
Medical,Nursing,ICU Nurse,Startup,MFine,Delhi,Critical Care
Medical,Radiology,Radiology Technologist,Startup,NetMeds,Ahmedabad,"X-Ray, CT, MRI"
Medical,Biomedical,Service Engineer,Startup,Dozee,Chennai,Medical Equipment Service
Medical,Nursing,Staff Nurse,Startup,Niramai,Ahmedabad,"Patient Care, Monitoring"
Medical,Biomedical,Service Engineer,Startup,MedGenome,Kolkata,Medical Equipment Service
Medical,General Medicine,Medical Officer,Startup,Dozee,Mumbai,"Patient Care, Diagnosis"
Medical,Biomedical,Service Engineer,Startup,Practo,Delhi,Medical Equipment Service
Medical,Radiology,MRI Technician,Startup,Tata 1mg,Delhi,MRI Operations
Medical,Biomedical,Service Engineer,Startup,HealthifyMe,Chennai,Medical Equipment Service
Medical,Medical Lab Technology,Quality Control Analyst,Startup,MFine,Delhi,Lab Quality Standards
Medical,Healthcare Management,Healthcare Manager,Startup,DocsApp,Ahmedabad,Healthcare Management
Medical,General Medicine,Clinical Analyst,Startup,Innovaccer Health,Ahmedabad,"Clinical Data Analysis, EHR"
Medical,Biomedical,Service Engineer,Startup,Dozee,Mumbai,Medical Equipment Service
Medical,General Medicine,Medical Officer,Startup,SigTuple,Bengaluru,"Patient Care, Diagnosis"
Medical,Biomedical,Medical Device Analyst,Startup,Tata 1mg,Mumbai,Device Testing
Medical,General Medicine,Public Health Analyst,Startup,Qure.ai,Hyderabad,"Epidemiology, Statistics"
Medical,Biomedical,Clinical Engineer,Startup,Tricog Health,Hyderabad,Equipment Maintenance
Medical,General Medicine,Clinical Analyst,Startup,CureFit,Hyderabad,"Clinical Data Analysis, EHR"
Medical,Healthcare Management,Healthcare Manager,Startup,CureFit,Kolkata,Healthcare Management
Medical,General Medicine,Healthcare Consultant,Startup,Practo,Bengaluru,Hospital Operations
Medical,Biomedical,Clinical Engineer,Startup,Portea Medical,Bengaluru,Equipment Maintenance
Medical,Radiology,Radiology Analyst,Startup,Dozee,Ahmedabad,Image Analysis
Medical,Nursing,Nurse Educator,Startup,Qure.ai,Mumbai,Medical Training
Medical,Biomedical,Biomedical Engineer,Startup,MFine,Chennai,Medical Devices
Medical,Biomedical,Service Engineer,Startup,MFine,Kolkata,Medical Equipment Service
Medical,General Medicine,Clinical Analyst,Startup,PharmEasy,Ahmedabad,"Clinical Data Analysis, EHR"
Medical,Biomedical,Medical Device Analyst,Startup,SigTuple,Bengaluru,Device Testing
