stream,department,job_role,company_level,company_name,location,required_skills
Pharmacy,Pharmaceutical Analysis,QC Analyst,Startup,Plix,Pune,"HPLC, GC"
Pharmacy,Pharmaceutical Analysis,Quality Control Officer,Startup,Bold Care,Hyderabad,Lab QA
Pharmacy,Pharmaceutics,Production Executive,Startup,Truemeds,Mumbai,"Manufacturing, SOP"
Pharmacy,Pharmaceutical Analysis,Analytical Chemist,Startup,Wellness Forever,Hyderabad,Method Validation
Pharmacy,Pharmaceutical Analysis,QC Analyst,Startup,Medlife,Bengaluru,"HPLC, GC"
Pharmacy,Pharmaceutics,Research Associate,Startup,NetMeds,Chennai,Pharmaceutical Research
Pharmacy,Pharmaceutics,Research Associate,Startup,Bold Care,Bengaluru,Pharmaceutical Research
Pharmacy,Pharmaceutical Analysis,Analytical Chemist,Startup,Himalayan Organics,Hyderabad,Method Validation
Pharmacy,Pharmacology,Medical Writer,Startup,Medlife,Bengaluru,Clinical Documentation
Pharmacy,Pharmaceutical Analysis,Quality Control Officer,Startup,Himalayan Organics,Ahmedabad,Lab QA
Pharmacy,Pharmaceutical Analysis,Calibration Executive,Startup,Wellness Forever,Pune,Instrument Calibration
Pharmacy,Pharmacology,Drug Safety Associate,Startup,HealthKart,Pune,Pharmacovigilance
Pharmacy,Pharmaceutical Analysis,Quality Control Officer,Startup,Tata 1mg,Pune,Lab QA
Pharmacy,Pharmaceutical Analysis,Quality Control Officer,Startup,Tata 1mg,Bengaluru,Lab QA
Pharmacy,Pharmaceutical Analysis,Analytical Chemist,Startup,Himalayan Organics,Hyderabad,Method Validation
Pharmacy,Pharmaceutics,Research Associate,Startup,Himalayan Organics,Bengaluru,Pharmaceutical Research
Pharmacy,Pharmaceutics,Quality Assurance Officer,Startup,Plix,Pune,"QA, Documentation"
Pharmacy,Pharmaceutics,Production Executive,Startup,Himalayan Organics,Chennai,"Manufacturing, SOP"
Pharmacy,Pharmacology,Drug Safety Associate,Startup,Bold Care,Mumbai,Pharmacovigilance
Pharmacy,Pharmacology,Medical Writer,Startup,Medlife,Mumbai,Clinical Documentation
Pharmacy,Pharmaceutical Analysis,QC Analyst,Startup,Bold Care,Bengaluru,"HPLC, GC"
Pharmacy,Pharmacology,Pharmacovigilance Analyst,Startup,Truemeds,Mumbai,Adverse Event Reporting
Pharmacy,Pharmaceutical Analysis,Calibration Executive,Startup,Tata 1mg,Chennai,Instrument Calibration
Pharmacy,Pharmaceutics,Formulation Scientist,Startup,Tata 1mg,Hyderabad,"Drug Formulation, GMP"
Pharmacy,Pharmacology,Clinical Research Associate,Startup,HealthKart,Bengaluru,Clinical Trials
Pharmacy,Pharmaceutics,Validation Executive,Startup,NetMeds,Bengaluru,Process Validation
Pharmacy,Pharmaceutical Analysis,Calibration Executive,Startup,Bold Care,Bengaluru,Instrument Calibration
Pharmacy,Pharmaceutics,Formulation Scientist,Startup,Wellness Forever,Bengaluru,"Drug Formulation, GMP"
Pharmacy,Pharmaceutics,Quality Assurance Officer,Startup,Himalayan Organics,Hyderabad,"QA, Documentation"
