stream,department,job_role,company_level,company_name,location,required_skills
UG,BCom,Accounts Executive,Startup,Nykaa,Bengaluru,"Accounting, Tally"
UG,BA,Operations Coordinator,Startup,Udaan,Mumbai,Operations
UG,BSc,Junior Scientist,Startup,CRED,Hyderabad,Scientific Methods
UG,BA,Research Assistant,Startup,Urban Company,Delhi,Documentation
UG,BSc,Research Assistant,Startup,Unacademy,Hyderabad,Data Collection
UG,BCom,Business Analyst,Startup,Groww,Delhi,"Excel, Reporting"
UG,BCom,Finance Executive,Startup,PhonePe,Mumbai,Finance Basics
UG,BCom,Accounts Executive,Startup,CRED,Hyderabad,"Accounting, Tally"
UG,BCA,Database Assistant,Startup,PolicyBazaar,Chennai,MySQL
UG,BCom,Operations Executive,Startup,Udaan,Hyderabad,Business Ops
UG,BCA,System Support Executive,Startup,Meesho,Hyderabad,"OS, Networking"
UG,BCom,Finance Executive,Startup,Razorpay,Delhi,Finance Basics
UG,BA,Operations Coordinator,Startup,Swiggy,Chennai,Operations
UG,BCA,Database Assistant,Startup,CRED,Bengaluru,MySQL
UG,BA,Marketing Executive,Startup,Meesho,Chennai,Digital Marketing
UG,BA,HR Executive,Startup,Urban Company,Pune,Recruitment
UG,BSc,Data Analyst,Startup,Byjus,Mumbai,"Excel, SQL"
UG,BSc,Research Assistant,Startup,PhonePe,Chennai,Data Collection
UG,BA,Research Assistant,Startup,Unacademy,Hyderabad,Documentation
UG,BCom,Audit Assistant,Startup,PolicyBazaar,Mumbai,Auditing
UG,BCom,Finance Executive,Startup,Unacademy,Pune,Finance Basics
UG,BSc,Quality Analyst,Startup,CRED,Bengaluru,Basic QA
UG,BCom,Accounts Executive,Startup,Meesho,Delhi,"Accounting, Tally"
UG,BCom,Finance Executive,Startup,Meesho,Hyderabad,Finance Basics
UG,BCA,System Support Executive,Startup,Razorpay,Hyderabad,"OS, Networking"
UG,BCom,Business Analyst,Startup,Meesho,Pune,"Excel, Reporting"
UG,BCA,System Support Executive,Startup,Swiggy,Hyderabad,"OS, Networking"
UG,BCA,Web Developer,Startup,Byjus,Pune,"HTML, CSS, JS"
UG,BCA,QA Tester,Startup,Swiggy,Pune,Manual Testing
UG,BCom,Audit Assistant,Startup,Zomato,Mumbai,Auditing
UG,BCom,Audit Assistant,Startup,Swiggy,Bengaluru,Auditing
UG,BA,Research Assistant,Startup,Meesho,Hyderabad,Documentation
UG,BSc,Research Assistant,Startup,Unacademy,Chennai,Data Collection
UG,BCom,Operations Executive,Startup,BigBasket,Delhi,Business Ops
UG,BSc,Lab Assistant,Startup,Meesho,Chennai,Lab Techniques
UG,BA,Research Assistant,Startup,Zomato,Mumbai,Documentation
UG,BSc,Quality Analyst,Startup,Meesho,Mumbai,Basic QA
UG,BCom,Operations Executive,Startup,Byjus,Pune,Business Ops
UG,BA,Research Assistant,Startup,PolicyBazaar,Pune,Documentation
UG,BSc,Research Assistant,Startup,PhonePe,Bengaluru,Data Collection
UG,BA,Research Assistant,Startup,BigBasket,Chennai,Documentation
UG,BCA,Database Assistant,Startup,Meesho,Mumbai,MySQL
UG,BCA,Database Assistant,Startup,CRED,Bengaluru,MySQL
UG,BA,Research Assistant,Startup,Razorpay,Pune,Documentation
UG,BCA,Database Assistant,Startup,CRED,Hyderabad,MySQL
UG,BCom,Business Analyst,Startup,Unacademy,Pune,"Excel, Reporting"
UG,BA,Content Analyst,Startup,Nykaa,Mumbai,Content Writing
UG,BA,Content Analyst,Startup,Zomato,Hyderabad,Content Writing
UG,BCA,Junior Software Developer,Startup,PolicyBazaar,Chennai,"Python, Java"
UG,BA,Research Assistant,Startup,Nykaa,Pune,Documentation
UG,BCom,Finance Executive,Startup,Udaan,Hyderabad,Finance Basics
UG,BCom,Audit Assistant,Startup,PhonePe,Pune,Auditing
UG,BCA,Junior Software Developer,Startup,Swiggy,Mumbai,"Python, Java"
UG,BCom,Business Analyst,Startup,Groww,Delhi,"Excel, Reporting"
UG,BCom,Business Analyst,Startup,Zomato,Chennai,"Excel, Reporting"
UG,BA,Content Analyst,Startup,CRED,Bengaluru,Content Writing
UG,BCA,Database Assistant,Startup,Zomato,Delhi,MySQL
UG,BCA,Junior Software Developer,Startup,CRED,Delhi,"Python, Java"
UG,BSc,Junior Scientist,Startup,Nykaa,Bengaluru,Scientific Methods
UG,BSc,Lab Assistant,Startup,BigBasket,Mumbai,Lab Techniques
UG,BSc,Junior Scientist,Startup,Zomato,Chennai,Scientific Methods
UG,BCA,QA Tester,Startup,Swiggy,Chennai,Manual Testing
UG,BCom,Operations Executive,Startup,Byjus,Delhi,Business Ops
UG,BA,HR Executive,Startup,Razorpay,Pune,Recruitment
UG,BCA,Junior Software Developer,Startup,PolicyBazaar,Pune,"Python, Java"
UG,BCA,System Support Executive,Startup,Unacademy,Mumbai,"OS, Networking"
UG,BCom,Accounts Executive,Startup,Nykaa,Mumbai,"Accounting, Tally"
UG,BCA,Junior Software Developer,Startup,BigBasket,Hyderabad,"Python, Java"
UG,BCA,Database Assistant,Startup,Unacademy,Bengaluru,MySQL
UG,BCA,Web Developer,Startup,BigBasket,Bengaluru,"HTML, CSS, JS"
UG,BA,Research Assistant,Startup,Udaan,Bengaluru,Documentation
UG,BSc,Quality Analyst,Startup,CRED,Delhi,Basic QA
UG,BCom,Business Analyst,Startup,BigBasket,Delhi,"Excel, Reporting"
UG,BCA,Junior Software Developer,Startup,Licious,Delhi,"Python, Java"
UG,BCom,Finance Executive,Startup,Udaan,Pune,Finance Basics
UG,BA,HR Executive,Startup,Meesho,Bengaluru,Recruitment
UG,BCom,Operations Executive,Startup,Udaan,Chennai,Business Ops
UG,BCA,Web Developer,Startup,BigBasket,Mumbai,"HTML, CSS, JS"
UG,BCom,Operations Executive,Startup,Groww,Hyderabad,Business Ops
UG,BCom,Audit Assistant,Startup,Udaan,Hyderabad,Auditing
UG,BSc,Junior Scientist,Startup,Licious,Bengaluru,Scientific Methods
UG,BA,Content Analyst,Startup,Urban Company,Hyderabad,Content Writing
UG,BCom,Operations Executive,Startup,PolicyBazaar,Chennai,Business Ops
UG,BA,Research Assistant,Startup,Groww,Delhi,Documentation
UG,BSc,Research Assistant,Startup,Groww,Delhi,Data Collection
UG,BCA,Web Developer,Startup,Licious,Chennai,"HTML, CSS, JS"
UG,BCA,Web Developer,Startup,Urban Company,Mumbai,"HTML, CSS, JS"
UG,BCom,Finance Executive,Startup,PolicyBazaar,Delhi,Finance Basics
UG,BCom,Audit Assistant,Startup,Unacademy,Hyderabad,Auditing
UG,BCom,Operations Executive,Startup,Byjus,Chennai,Business Ops
UG,BSc,Research Assistant,Startup,CRED,Mumbai,Data Collection
UG,BCom,Business Analyst,Startup,Meesho,Delhi,"Excel, Reporting"
UG,BA,Content Analyst,Startup,Razorpay,Bengaluru,Content Writing
UG,BCA,QA Tester,Startup,Urban Company,Hyderabad,Manual Testing
UG,BSc,Junior Scientist,Startup,Swiggy,Hyderabad,Scientific Methods
UG,BCom,Accounts Executive,Startup,BigBasket,Chennai,"Accounting, Tally"
UG,BSc,Lab Assistant,Startup,CRED,Pune,Lab Techniques
UG,BSc,Quality Analyst,Startup,Licious,Delhi,Basic QA
UG,BA,Content Analyst,Startup,Zomato,Bengaluru,Content Writing
UG,BA,Operations Coordinator,Startup,PolicyBazaar,Hyderabad,Operations
UG,BSc,Lab Assistant,Startup,PhonePe,Hyderabad,Lab Techniques
UG,BSc,Junior Scientist,Startup,Zomato,Bengaluru,Scientific Methods
UG,BSc,Data Analyst,Startup,PhonePe,Chennai,"Excel, SQL"
UG,BSc,Data Analyst,Startup,BigBasket,Mumbai,"Excel, SQL"
UG,BCA,QA Tester,Startup,Zomato,Hyderabad,Manual Testing
UG,BA,Marketing Executive,Startup,Meesho,Delhi,Digital Marketing
UG,BA,Operations Coordinator,Startup,Meesho,Delhi,Operations
UG,BCA,Web Developer,Startup,Byjus,Pune,"HTML, CSS, JS"
UG,BA,HR Executive,Startup,Udaan,Mumbai,Recruitment
UG,BCom,Audit Assistant,Startup,BigBasket,Pune,Auditing
UG,BCom,Operations Executive,Startup,PhonePe,Chennai,Business Ops
UG,BSc,Lab Assistant,Startup,Udaan,Pune,Lab Techniques
UG,BA,Marketing Executive,Startup,Byjus,Hyderabad,Digital Marketing
UG,BA,Content Analyst,Startup,Licious,Hyderabad,Content Writing
UG,BSc,Lab Assistant,Startup,Groww,Mumbai,Lab Techniques
UG,BCA,Junior Software Developer,Startup,CRED,Hyderabad,"Python, Java"
UG,BCom,Operations Executive,Startup,Razorpay,Chennai,Business Ops
UG,BA,Operations Coordinator,Startup,Unacademy,Pune,Operations
UG,BSc,Quality Analyst,Startup,Byjus,Delhi,Basic QA
UG,BCom,Audit Assistant,Startup,CRED,Mumbai,Auditing
UG,BCA,Web Developer,Startup,Nykaa,Bengaluru,"HTML, CSS, JS"
UG,BSc,Junior Scientist,Startup,PhonePe,Delhi,Scientific Methods
UG,BCA,Database Assistant,Startup,Nykaa,Pune,MySQL
UG,BCA,Junior Software Developer,Startup,Byjus,Chennai,"Python, Java"
UG,BCA,Database Assistant,Startup,Groww,Bengaluru,MySQL
UG,BA,Research Assistant,Startup,Licious,Pune,Documentation
UG,BCA,Junior Software Developer,Startup,CRED,Bengaluru,"Python, Java"
UG,BCA,QA Tester,Startup,Udaan,Delhi,Manual Testing
UG,BCom,Accounts Executive,Startup,Meesho,Hyderabad,"Accounting, Tally"
UG,BCA,Junior Software Developer,Startup,Udaan,Hyderabad,"Python, Java"
UG,BCom,Business Analyst,Startup,PolicyBazaar,Delhi,"Excel, Reporting"
UG,BCom,Audit Assistant,Startup,PhonePe,Bengaluru,Auditing
UG,BA,HR Executive,Startup,Byjus,Delhi,Recruitment
UG,BA,Marketing Executive,Startup,Urban Company,Delhi,Digital Marketing
UG,BCA,System Support Executive,Startup,Urban Company,Bengaluru,"OS, Networking"
UG,BSc,Junior Scientist,Startup,PolicyBazaar,Delhi,Scientific Methods
UG,BA,Operations Coordinator,Startup,Byjus,Delhi,Operations
UG,BA,Operations Coordinator,Startup,Nykaa,Mumbai,Operations
UG,BSc,Lab Assistant,Startup,Razorpay,Mumbai,Lab Techniques
UG,BCom,Accounts Executive,Startup,Licious,Delhi,"Accounting, Tally"
UG,BSc,Junior Scientist,Startup,Meesho,Chennai,Scientific Methods
UG,BSc,Quality Analyst,Startup,Swiggy,Chennai,Basic QA
UG,BCom,Audit Assistant,Startup,Unacademy,Chennai,Auditing
UG,BA,HR Executive,Startup,Razorpay,Mumbai,Recruitment
UG,BSc,Data Analyst,Startup,Unacademy,Delhi,"Excel, SQL"
UG,BCom,Finance Executive,Startup,Nykaa,Hyderabad,Finance Basics
UG,BA,Operations Coordinator,Startup,PhonePe,Hyderabad,Operations
UG,BCom,Finance Executive,Startup,PolicyBazaar,Mumbai,Finance Basics
UG,BCA,System Support Executive,Startup,Unacademy,Bengaluru,"OS, Networking"
UG,BCom,Audit Assistant,Startup,PolicyBazaar,Hyderabad,Auditing
UG,BSc,Data Analyst,Startup,BigBasket,Mumbai,"Excel, SQL"
UG,BSc,Junior Scientist,Startup,PolicyBazaar,Mumbai,Scientific Methods
UG,BSc,Data Analyst,Startup,BigBasket,Delhi,"Excel, SQL"
UG,BCA,Junior Software Developer,Startup,Groww,Mumbai,"Python, Java"
UG,BA,Content Analyst,Startup,Urban Company,Mumbai,Content Writing
UG,BCom,Operations Executive,Startup,Licious,Chennai,Business Ops
UG,BSc,Quality Analyst,Startup,Nykaa,Bengaluru,Basic QA
UG,BCom,Audit Assistant,Startup,PhonePe,Hyderabad,Auditing
UG,BCA,Junior Software Developer,Startup,Groww,Bengaluru,"Python, Java"
UG,BA,Marketing Executive,Startup,Unacademy,Bengaluru,Digital Marketing
UG,BCA,Web Developer,Startup,BigBasket,Hyderabad,"HTML, CSS, JS"
UG,BCA,System Support Executive,Startup,Urban Company,Hyderabad,"OS, Networking"
UG,BA,Research Assistant,Startup,Licious,Pune,Documentation
UG,BCA,System Support Executive,Startup,BigBasket,Mumbai,"OS, Networking"
UG,BCom,Business Analyst,Startup,Udaan,Delhi,"Excel, Reporting"
UG,BSc,Research Assistant,Startup,PhonePe,Pune,Data Collection
UG,BCom,Accounts Executive,Startup,Urban Company,Mumbai,"Accounting, Tally"
UG,BCom,Accounts Executive,Startup,Swiggy,Bengaluru,"Accounting, Tally"
UG,BSc,Quality Analyst,Startup,Unacademy,Mumbai,Basic QA
UG,BCom,Accounts Executive,Startup,Urban Company,Hyderabad,"Accounting, Tally"
UG,BA,Operations Coordinator,Startup,PhonePe,Mumbai,Operations
UG,BSc,Junior Scientist,Startup,Nykaa,Bengaluru,Scientific Methods
UG,BA,Operations Coordinator,Startup,Unacademy,Hyderabad,Operations
UG,BSc,Lab Assistant,Startup,Zomato,Mumbai,Lab Techniques
UG,BCom,Finance Executive,Startup,Unacademy,Pune,Finance Basics
UG,BSc,Data Analyst,Startup,Unacademy,Mumbai,"Excel, SQL"
UG,BSc,Quality Analyst,Startup,Swiggy,Pune,Basic QA
UG,BCom,Audit Assistant,Startup,CRED,Hyderabad,Auditing
UG,BCom,Finance Executive,Startup,Unacademy,Bengaluru,Finance Basics
UG,BCom,Accounts Executive,Startup,Razorpay,Delhi,"Accounting, Tally"
UG,BA,Research Assistant,Startup,Byjus,Delhi,Documentation
UG,BSc,Research Assistant,Startup,BigBasket,Chennai,Data Collection
UG,BA,HR Executive,Startup,Unacademy,Hyderabad,Recruitment
UG,BCom,Business Analyst,Startup,Nykaa,Hyderabad,"Excel, Reporting"
UG,BCA,Junior Software Developer,Startup,PolicyBazaar,Pune,"Python, Java"
UG,BA,Content Analyst,Startup,Razorpay,Mumbai,Content Writing
UG,BA,Marketing Executive,Startup,Unacademy,Chennai,Digital Marketing
UG,BCA,System Support Executive,Startup,Nykaa,Hyderabad,"OS, Networking"
UG,BA,Content Analyst,Startup,Meesho,Delhi,Content Writing
UG,BCom,Operations Executive,Startup,BigBasket,Pune,Business Ops
UG,BCA,Web Developer,Startup,Urban Company,Bengaluru,"HTML, CSS, JS"
UG,BSc,Lab Assistant,Startup,Urban Company,Bengaluru,Lab Techniques
UG,BSc,Research Assistant,Startup,Nykaa,Pune,Data Collection
UG,BCA,Junior Software Developer,Startup,Licious,Chennai,"Python, Java"
UG,BSc,Quality Analyst,Startup,Urban Company,Chennai,Basic QA
UG,BCom,Business Analyst,Startup,Unacademy,Bengaluru,"Excel, Reporting"
UG,BCom,Finance Executive,Startup,Udaan,Mumbai,Finance Basics
UG,BCA,Database Assistant,Startup,PolicyBazaar,Mumbai,MySQL
UG,BSc,Data Analyst,Startup,Nykaa,Pune,"Excel, SQL"
UG,BCA,System Support Executive,Startup,PhonePe,Pune,"OS, Networking"
UG,BCA,QA Tester,Startup,Licious,Hyderabad,Manual Testing
UG,BCA,System Support Executive,Startup,Urban Company,Delhi,"OS, Networking"
UG,BCA,Web Developer,Startup,Meesho,Chennai,"HTML, CSS, JS"
