stream,department,course,job_role,company_level,company_name,location,required_skill
UG,AIDS,Engineering,Data Analyst,High,Uber,Pune,"python,sql,statistics,excel"
UG,AIDS,Engineering,Software Engineer,High,Flipkart,Chennai,"java,python,git,problem solving"
UG,AIDS,Engineering,Database Administrator,High,Tech Mahindra,Delhi,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Full Stack Developer,High,CRED,Chennai,"java,react,sql,api"
UG,AIDS,Engineering,Data Analyst,High,Ola,Chennai,"python,sql,statistics,excel"
UG,AIDS,Engineering,Backend Developer,High,Flipkart,Mumbai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Data Engineer,High,HCL,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,ML Engineer,High,PhonePe,Pune,"python,machine learning,deep learning"
UG,AIDS,Engineering,ML Engineer,High,Oracle,Pune,"python,machine learning,deep learning"
UG,AIDS,Engineering,Frontend Developer,High,Paytm,Bangalore,"html,css,javascript,react"
UG,AIDS,Engineering,Frontend Developer,High,Google,Mumbai,"html,css,javascript,react"
UG,AIDS,Engineering,Data Analyst,High,Accenture,Hyderabad,"python,sql,statistics,excel"
UG,AIDS,Engineering,Full Stack Developer,High,TCS,Mumbai,"java,react,sql,api"
UG,AIDS,Engineering,Backend Developer,High,Oracle,Mumbai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Full Stack Developer,High,Swiggy,Bangalore,"java,react,sql,api"
UG,AIDS,Engineering,Frontend Developer,High,Google,Pune,"html,css,javascript,react"
UG,AIDS,Engineering,Full Stack Developer,High,Amazon,Delhi,"java,react,sql,api"
UG,AIDS,Engineering,ML Engineer,High,Ola,Mumbai,"python,machine learning,deep learning"
UG,AIDS,Engineering,Full Stack Developer,High,Byjus,Bangalore,"java,react,sql,api"
UG,AIDS,Engineering,Data Analyst,High,Uber,Delhi,"python,sql,statistics,excel"
UG,AIDS,Engineering,Full Stack Developer,High,Capgemini,Delhi,"java,react,sql,api"
UG,AIDS,Engineering,Data Engineer,High,Google,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,High,Wipro,Hyderabad,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Analyst,High,Infosys,Delhi,"python,sql,statistics,excel"
UG,AIDS,Engineering,Database Administrator,High,Uber,Mumbai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Frontend Developer,High,Uber,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,Software Engineer,High,Freshworks,Pune,"java,python,git,problem solving"
UG,AIDS,Engineering,Data Analyst,High,Freshworks,Delhi,"python,sql,statistics,excel"
UG,AIDS,Engineering,Data Engineer,High,Google,Hyderabad,"python,sql,etl,cloud"
UG,AIDS,Engineering,ML Engineer,High,Nykaa,Hyderabad,"python,machine learning,deep learning"
UG,AIDS,Engineering,Full Stack Developer,High,Capgemini,Chennai,"java,react,sql,api"
UG,AIDS,Engineering,Data Analyst,High,Uber,Hyderabad,"python,sql,statistics,excel"
UG,AIDS,Engineering,Data Analyst,High,Wipro,Bangalore,"python,sql,statistics,excel"
UG,AIDS,Engineering,Backend Developer,High,Ola,Bangalore,"java,python,spring,sql,api"
UG,AIDS,Engineering,Database Administrator,High,TCS,Pune,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Backend Developer,High,Zomato,Mumbai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Full Stack Developer,High,Infosys,Mumbai,"java,react,sql,api"
UG,AIDS,Engineering,Data Engineer,High,Oracle,Pune,"python,sql,etl,cloud"
UG,AIDS,Engineering,Backend Developer,High,Accenture,Delhi,"java,python,spring,sql,api"
UG,AIDS,Engineering,Database Administrator,High,IBM,Bangalore,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Data Analyst,High,Microsoft,Pune,"python,sql,statistics,excel"
UG,AIDS,Engineering,Software Engineer,High,Freshworks,Hyderabad,"java,python,git,problem solving"
UG,AIDS,Engineering,ML Engineer,High,HCL,Delhi,"python,machine learning,deep learning"
UG,AIDS,Engineering,Database Administrator,High,Google,Mumbai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Backend Developer,High,Tech Mahindra,Delhi,"java,python,spring,sql,api"
UG,AIDS,Engineering,Data Engineer,High,Capgemini,Bangalore,"python,sql,etl,cloud"
UG,AIDS,Engineering,Frontend Developer,High,Paytm,Mumbai,"html,css,javascript,react"
UG,AIDS,Engineering,Software Engineer,High,IBM,Bangalore,"java,python,git,problem solving"
UG,AIDS,Engineering,Software Engineer,High,Infosys,Hyderabad,"java,python,git,problem solving"
UG,AIDS,Engineering,Database Administrator,High,Ola,Chennai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,ML Engineer,Mid,Nykaa,Hyderabad,"python,machine learning,deep learning"
UG,AIDS,Engineering,Data Engineer,Mid,Capgemini,Chennai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Full Stack Developer,Mid,Oracle,Mumbai,"java,react,sql,api"
UG,AIDS,Engineering,Full Stack Developer,Mid,Infosys,Chennai,"java,react,sql,api"
UG,AIDS,Engineering,Data Engineer,Mid,Meesho,Bangalore,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,Mid,Zomato,Hyderabad,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,Mid,Microsoft,Delhi,"python,sql,etl,cloud"
UG,AIDS,Engineering,Database Administrator,Mid,Nykaa,Mumbai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Frontend Developer,Mid,PhonePe,Mumbai,"html,css,javascript,react"
UG,AIDS,Engineering,Database Administrator,Mid,Tech Mahindra,Pune,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Data Analyst,Mid,Byjus,Hyderabad,"python,sql,statistics,excel"
UG,AIDS,Engineering,Frontend Developer,Mid,Meesho,Delhi,"html,css,javascript,react"
UG,AIDS,Engineering,Database Administrator,Mid,Meesho,Bangalore,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Full Stack Developer,Mid,TCS,Mumbai,"java,react,sql,api"
UG,AIDS,Engineering,Data Engineer,Mid,Capgemini,Delhi,"python,sql,etl,cloud"
UG,AIDS,Engineering,Frontend Developer,Mid,Zomato,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,Data Engineer,Mid,Tech Mahindra,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,Mid,Cognizant,Pune,"python,sql,etl,cloud"
UG,AIDS,Engineering,Database Administrator,Mid,Byjus,Bangalore,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Software Engineer,Mid,Razorpay,Mumbai,"java,python,git,problem solving"
UG,AIDS,Engineering,Frontend Developer,Mid,Swiggy,Hyderabad,"html,css,javascript,react"
UG,AIDS,Engineering,Full Stack Developer,Mid,Swiggy,Pune,"java,react,sql,api"
UG,AIDS,Engineering,Frontend Developer,Mid,CRED,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,ML Engineer,Mid,Zomato,Delhi,"python,machine learning,deep learning"
UG,AIDS,Engineering,Frontend Developer,Mid,HCL,Hyderabad,"html,css,javascript,react"
UG,AIDS,Engineering,Frontend Developer,Mid,Freshworks,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,Software Engineer,Mid,Wipro,Chennai,"java,python,git,problem solving"
UG,AIDS,Engineering,Full Stack Developer,Mid,CRED,Chennai,"java,react,sql,api"
UG,AIDS,Engineering,Backend Developer,Mid,Microsoft,Chennai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Data Analyst,Mid,Zoho,Pune,"python,sql,statistics,excel"
UG,AIDS,Engineering,Data Analyst,Mid,Microsoft,Bangalore,"python,sql,statistics,excel"
UG,AIDS,Engineering,Backend Developer,Mid,Meesho,Mumbai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Software Engineer,Mid,Uber,Delhi,"java,python,git,problem solving"
UG,AIDS,Engineering,ML Engineer,Mid,HCL,Delhi,"python,machine learning,deep learning"
UG,AIDS,Engineering,Data Analyst,Mid,Wipro,Chennai,"python,sql,statistics,excel"
UG,AIDS,Engineering,Data Analyst,Mid,Accenture,Mumbai,"python,sql,statistics,excel"
UG,AIDS,Engineering,Data Analyst,Mid,Paytm,Hyderabad,"python,sql,statistics,excel"
UG,AIDS,Engineering,Full Stack Developer,Mid,Flipkart,Delhi,"java,react,sql,api"
UG,AIDS,Engineering,Database Administrator,Mid,Cognizant,Pune,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Backend Developer,Mid,PhonePe,Chennai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Backend Developer,Mid,Freshworks,Pune,"java,python,spring,sql,api"
UG,AIDS,Engineering,Data Analyst,Mid,TCS,Pune,"python,sql,statistics,excel"
UG,AIDS,Engineering,Database Administrator,Mid,Ola,Bangalore,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Data Engineer,Mid,Accenture,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Frontend Developer,Mid,TCS,Bangalore,"html,css,javascript,react"
UG,AIDS,Engineering,Data Engineer,Mid,Tech Mahindra,Hyderabad,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Analyst,Mid,Paytm,Bangalore,"python,sql,statistics,excel"
UG,AIDS,Engineering,Frontend Developer,Mid,PhonePe,Hyderabad,"html,css,javascript,react"
UG,AIDS,Engineering,Full Stack Developer,Mid,Byjus,Chennai,"java,react,sql,api"
UG,AIDS,Engineering,Backend Developer,Mid,Zomato,Chennai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Database Administrator,Mid,Flipkart,Chennai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Database Administrator,Mid,Ola,Delhi,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Frontend Developer,Mid,Google,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,Frontend Developer,Mid,Tech Mahindra,Hyderabad,"html,css,javascript,react"
UG,AIDS,Engineering,Database Administrator,Mid,Flipkart,Pune,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Backend Developer,Mid,Nykaa,Mumbai,"java,python,spring,sql,api"
UG,AIDS,Engineering,ML Engineer,Mid,Freshworks,Bangalore,"python,machine learning,deep learning"
UG,AIDS,Engineering,ML Engineer,Mid,Freshworks,Pune,"python,machine learning,deep learning"
UG,AIDS,Engineering,Frontend Developer,Mid,Capgemini,Pune,"html,css,javascript,react"
UG,AIDS,Engineering,Database Administrator,Mid,Infosys,Delhi,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Full Stack Developer,Mid,PhonePe,Hyderabad,"java,react,sql,api"
UG,AIDS,Engineering,Software Engineer,Mid,Accenture,Hyderabad,"java,python,git,problem solving"
UG,AIDS,Engineering,Software Engineer,Mid,Microsoft,Mumbai,"java,python,git,problem solving"
UG,AIDS,Engineering,Full Stack Developer,Mid,Infosys,Bangalore,"java,react,sql,api"
UG,AIDS,Engineering,Software Engineer,Mid,Swiggy,Hyderabad,"java,python,git,problem solving"
UG,AIDS,Engineering,Frontend Developer,Mid,Meesho,Hyderabad,"html,css,javascript,react"
UG,AIDS,Engineering,Database Administrator,Mid,Tech Mahindra,Delhi,"sql,plsql,performance tuning"
UG,AIDS,Engineering,ML Engineer,Mid,Uber,Hyderabad,"python,machine learning,deep learning"
UG,AIDS,Engineering,Backend Developer,Mid,Nykaa,Bangalore,"java,python,spring,sql,api"
UG,AIDS,Engineering,Frontend Developer,Mid,Paytm,Delhi,"html,css,javascript,react"
UG,AIDS,Engineering,Frontend Developer,Mid,Nykaa,Bangalore,"html,css,javascript,react"
UG,AIDS,Engineering,ML Engineer,Mid,Byjus,Hyderabad,"python,machine learning,deep learning"
UG,AIDS,Engineering,Database Administrator,Mid,Paytm,Mumbai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Backend Developer,Mid,PhonePe,Pune,"java,python,spring,sql,api"
UG,AIDS,Engineering,Frontend Developer,Mid,Ola,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,Data Analyst,Mid,CRED,Bangalore,"python,sql,statistics,excel"
UG,AIDS,Engineering,Data Engineer,Mid,TCS,Delhi,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,Mid,Wipro,Pune,"python,sql,etl,cloud"
UG,AIDS,Engineering,Software Engineer,Mid,Tech Mahindra,Pune,"java,python,git,problem solving"
UG,AIDS,Engineering,Backend Developer,Mid,Accenture,Bangalore,"java,python,spring,sql,api"
UG,AIDS,Engineering,Frontend Developer,Mid,Razorpay,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,ML Engineer,Mid,Oracle,Bangalore,"python,machine learning,deep learning"
UG,AIDS,Engineering,ML Engineer,Mid,Meesho,Hyderabad,"python,machine learning,deep learning"
UG,AIDS,Engineering,Backend Developer,Mid,Paytm,Hyderabad,"java,python,spring,sql,api"
UG,AIDS,Engineering,Data Engineer,Mid,IBM,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Analyst,Mid,HCL,Delhi,"python,sql,statistics,excel"
UG,AIDS,Engineering,Database Administrator,Mid,Wipro,Pune,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Backend Developer,Mid,Accenture,Chennai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Backend Developer,Mid,Ola,Bangalore,"java,python,spring,sql,api"
UG,AIDS,Engineering,Data Engineer,Mid,Uber,Bangalore,"python,sql,etl,cloud"
UG,AIDS,Engineering,Frontend Developer,Mid,Byjus,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,Database Administrator,Mid,Flipkart,Mumbai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Frontend Developer,Mid,Freshworks,Hyderabad,"html,css,javascript,react"
UG,AIDS,Engineering,Software Engineer,Mid,Wipro,Delhi,"java,python,git,problem solving"
UG,AIDS,Engineering,Database Administrator,Mid,Capgemini,Delhi,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Data Engineer,Mid,Paytm,Chennai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,Mid,Razorpay,Hyderabad,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,Mid,Freshworks,Delhi,"python,sql,etl,cloud"
UG,AIDS,Engineering,Full Stack Developer,Low,Nykaa,Chennai,"java,react,sql,api"
UG,AIDS,Engineering,Data Analyst,Low,Microsoft,Mumbai,"python,sql,statistics,excel"
UG,AIDS,Engineering,Backend Developer,Low,Zomato,Mumbai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Software Engineer,Low,Oracle,Mumbai,"java,python,git,problem solving"
UG,AIDS,Engineering,Database Administrator,Low,PhonePe,Pune,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Frontend Developer,Low,Capgemini,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,Data Analyst,Low,IBM,Mumbai,"python,sql,statistics,excel"
UG,AIDS,Engineering,Database Administrator,Low,Oracle,Chennai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,ML Engineer,Low,Zoho,Chennai,"python,machine learning,deep learning"
UG,AIDS,Engineering,Backend Developer,Low,Razorpay,Chennai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Data Analyst,Low,PhonePe,Delhi,"python,sql,statistics,excel"
UG,AIDS,Engineering,Database Administrator,Low,Infosys,Pune,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Data Engineer,Low,Cognizant,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Database Administrator,Low,Swiggy,Bangalore,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Data Engineer,Low,Zomato,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Software Engineer,Low,Zomato,Mumbai,"java,python,git,problem solving"
UG,AIDS,Engineering,Frontend Developer,Low,Zoho,Chennai,"html,css,javascript,react"
UG,AIDS,Engineering,Data Analyst,Low,Nykaa,Chennai,"python,sql,statistics,excel"
UG,AIDS,Engineering,Backend Developer,Low,Zomato,Chennai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Software Engineer,Low,Razorpay,Delhi,"java,python,git,problem solving"
UG,AIDS,Engineering,Data Engineer,Low,Byjus,Bangalore,"python,sql,etl,cloud"
UG,AIDS,Engineering,Frontend Developer,Low,Swiggy,Mumbai,"html,css,javascript,react"
UG,AIDS,Engineering,Database Administrator,Low,Zomato,Bangalore,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Data Engineer,Low,Razorpay,Bangalore,"python,sql,etl,cloud"
UG,AIDS,Engineering,Software Engineer,Low,Ola,Mumbai,"java,python,git,problem solving"
UG,AIDS,Engineering,Data Analyst,Low,Uber,Pune,"python,sql,statistics,excel"
UG,AIDS,Engineering,Frontend Developer,Low,Ola,Mumbai,"html,css,javascript,react"
UG,AIDS,Engineering,Data Analyst,Low,Freshworks,Pune,"python,sql,statistics,excel"
UG,AIDS,Engineering,ML Engineer,Low,Nykaa,Hyderabad,"python,machine learning,deep learning"
UG,AIDS,Engineering,Frontend Developer,Low,Byjus,Pune,"html,css,javascript,react"
UG,AIDS,Engineering,ML Engineer,Low,Swiggy,Chennai,"python,machine learning,deep learning"
UG,AIDS,Engineering,Data Engineer,Low,Meesho,Pune,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,Low,PhonePe,Pune,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Engineer,Low,Byjus,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,ML Engineer,Low,Byjus,Mumbai,"python,machine learning,deep learning"
UG,AIDS,Engineering,Full Stack Developer,Low,Accenture,Delhi,"java,react,sql,api"
UG,AIDS,Engineering,Frontend Developer,Low,Ola,Bangalore,"html,css,javascript,react"
UG,AIDS,Engineering,Data Engineer,Low,CRED,Hyderabad,"python,sql,etl,cloud"
UG,AIDS,Engineering,Data Analyst,Low,Microsoft,Pune,"python,sql,statistics,excel"
UG,AIDS,Engineering,Data Engineer,Low,PhonePe,Mumbai,"python,sql,etl,cloud"
UG,AIDS,Engineering,Frontend Developer,Low,Capgemini,Bangalore,"html,css,javascript,react"
UG,AIDS,Engineering,Software Engineer,Low,Google,Mumbai,"java,python,git,problem solving"
UG,AIDS,Engineering,Backend Developer,Low,Razorpay,Bangalore,"java,python,spring,sql,api"
UG,AIDS,Engineering,ML Engineer,Low,Capgemini,Mumbai,"python,machine learning,deep learning"
UG,AIDS,Engineering,Database Administrator,Low,Zoho,Hyderabad,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Data Analyst,Low,TCS,Bangalore,"python,sql,statistics,excel"
UG,AIDS,Engineering,Frontend Developer,Low,TCS,Mumbai,"html,css,javascript,react"
UG,AIDS,Engineering,Full Stack Developer,Low,Wipro,Hyderabad,"java,react,sql,api"
UG,AIDS,Engineering,Software Engineer,Low,TCS,Mumbai,"java,python,git,problem solving"
UG,AIDS,Engineering,Frontend Developer,Low,Paytm,Hyderabad,"html,css,javascript,react"
UG,AIDS,Engineering,Full Stack Developer,Low,Freshworks,Pune,"java,react,sql,api"
UG,AIDS,Engineering,Database Administrator,Low,Tech Mahindra,Mumbai,"sql,plsql,performance tuning"
UG,AIDS,Engineering,ML Engineer,Low,TCS,Delhi,"python,machine learning,deep learning"
UG,AIDS,Engineering,Backend Developer,Low,Tech Mahindra,Mumbai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Software Engineer,Low,Nykaa,Hyderabad,"java,python,git,problem solving"
UG,AIDS,Engineering,Backend Developer,Low,Google,Mumbai,"java,python,spring,sql,api"
UG,AIDS,Engineering,Full Stack Developer,Low,Ola,Delhi,"java,react,sql,api"
UG,AIDS,Engineering,Database Administrator,Low,Ola,Bangalore,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Software Engineer,Low,Tech Mahindra,Hyderabad,"java,python,git,problem solving"
UG,AIDS,Engineering,Database Administrator,Low,Razorpay,Bangalore,"sql,plsql,performance tuning"
UG,AIDS,Engineering,Full Stack Developer,Low,HCL,Hyderabad,"java,react,sql,api"
